task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	1c/e3a3e5	nf-1ce3a3e5c55d41f5c0b05fe9b37d30b5-e64ef	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R2)	COMPLETED	0	2026-01-07 11:32:03.593	7m 19s	6m 58s	91.9%	2.7 GB	70 GB	2.3 GB	24.4 MB
9	2a/b814a8	nf-2ab814a874c0c1f88681cdb29c3acbf4-dcff7	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R3)	COMPLETED	0	2026-01-07 11:38:01.089	1m 36s	1m 34s	106.5%	1.3 GB	4.5 GB	1 GB	2.2 MB
2	bf/fb1914	nf-bffb19144acdc16a70bdc4d1f0928b96-ae67b	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R1)	COMPLETED	0	2026-01-07 11:32:03.808	7m 47s	7m 45s	88.7%	2.4 GB	60.8 GB	2.2 GB	26.3 MB
10	fb/4c839b	nf-fb4c839be77c06b912bc7cbb51e80146-7cf6a	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R3)	COMPLETED	0	2026-01-07 11:38:00.989	3m 14s	3m 9s	98.6%	2.6 GB	69.8 GB	1.1 GB	18.7 MB
15	44/06df80	nf-4406df8011b28c17796003577a916d41-7cd0c	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R2)	COMPLETED	0	2026-01-07 11:39:55.990	1m 43s	1m 42s	97.7%	2.5 GB	69.8 GB	588 MB	12.5 MB
13	4f/feee45	nf-4ffeee4550acb65bcffa2d32d7604c8f-be2f7	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1)	COMPLETED	0	2026-01-07 11:39:40.993	2m 11s	2m 3s	104.5%	1.1 GB	4.6 GB	1.3 GB	2 MB
14	a4/53ab97	nf-a453ab9724e0c2b5ad8c8cb61d7755d0-2467d	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R2)	COMPLETED	0	2026-01-07 11:41:16.037	51s	48s	110.3%	1.1 GB	4.7 GB	547.1 MB	2 MB
12	cc/085b99	nf-cc085b99b0c461417ee3c5e57434860a-381f0	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R1)	COMPLETED	0	2026-01-07 11:39:26.053	4m 3s	4m 2s	99.2%	1.9 GB	51 GB	1.4 GB	17.7 MB
20	e2/43ffec	nf-e243ffece5c2016f033d28774471aa8e-35cc2	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R3)	COMPLETED	0	2026-01-07 11:41:55.997	3m 8s	3m 3s	103.7%	1.2 GB	4.7 GB	2.2 GB	2.1 MB
21	2e/2a8838	nf-2e2a8838c2c77c23e417f6d34a1c0de1-be7d5	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_INDEX (genome.fa)	COMPLETED	0	2026-01-07 11:42:11.053	4m 45s	3m 12s	181.2%	18 GB	22.2 GB	2.9 GB	10.8 GB
19	48/a1288d	nf-48a1288d02c81725c3d22f9caabad184-5e15e	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R3)	COMPLETED	0	2026-01-07 11:41:41.003	6m 34s	6m 33s	99.6%	2.4 GB	60.7 GB	2.3 GB	21 MB
24	2e/b48c2a	nf-2eb48c2ab248539c2705adac5573c788-024ef	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3)	COMPLETED	0	2026-01-07 11:47:23.001	33m 48s	32m 46s	579.3%	21.4 GB	21.9 GB	11.8 GB	2.5 GB
22	4f/489e5a	nf-4f489e5a45defd28c79640b93fa7c19c-2b6d0	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R1)	COMPLETED	0	2026-01-07 11:47:22.965	47m 17s	47m 11s	587.5%	20.3 GB	20.7 GB	13 GB	5.5 GB
25	c1/1a4441	nf-c11a44410270b8bb3cb1ee3ea826349b-f19aa	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R1)	COMPLETED	0	2026-01-07 11:48:21.746	1h 4m 26s	31m 32s	581.4%	19.7 GB	20.1 GB	12.1 GB	3.4 GB
26	fc/f1b72d	nf-fcf1b72dc0ae378740d54a1772fb51a0-42390	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R2)	COMPLETED	0	2026-01-07 12:21:17.038	34m 8s	20m 41s	567.2%	19.4 GB	19.9 GB	11.3 GB	1.3 GB
