task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	3b/0ba807	nf-3b0ba80785d54e7af226773a8041671c-00ffa	NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv)	COMPLETED	0	2026-01-07 15:47:02.401	22.6s	0ms	40.3%	2.7 MB	11 MB	664.3 KB	1 KB
6	b8/c434df	nf-b8c434df5b38f292c0c0b39600f7a7af-ae21a	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R2)	COMPLETED	0	2026-01-07 15:49:01.975	3m 20s	3m 18s	102.8%	1.5 GB	4.5 GB	2.2 GB	1.9 MB
5	f4/1217a3	nf-f41217a3e3459b3145b0b0656ed7b38b-a5762	NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (genome.fa)	COMPLETED	0	2026-01-07 15:52:27.956	25s	19s	89.4%	6.2 MB	11.9 MB	2.9 GB	5.7 KB
4	96/1ee3ec	nf-961ee3ec623e19669ea208149bc42a79-58841	NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa)	COMPLETED	0	2026-01-07 15:52:57.958	16s	15s	99.5%	6 MB	12 MB	2.9 GB	5.5 KB
2	9a/89cdcb	nf-9a89cdcb58a041b41de055fe5adc58d5-335cb	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1)	COMPLETED	0	2026-01-07 15:48:55.525	4m 37s	4m 4s	81.3%	1.1 GB	4.4 GB	2.2 GB	1.9 MB
8	28/671700	nf-28671700d48c0a06d2981a1d58ed1b12-ce88b	NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa)	COMPLETED	0	2026-01-07 15:53:17.930	15.1s	14s	100.2%	4.6 MB	12 MB	2.9 GB	5.5 KB
11	90/25ac3f	nf-9025ac3f809c710573d0b4ef5ae5c212-b21db	NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa)	COMPLETED	0	2026-01-07 15:53:37.943	28.1s	26s	62.1%	4.6 MB	12 MB	2.9 GB	5.5 KB
16	d6/260698	nf-d62606981cae04a250e482c9cd56317f-d3288	NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa)	COMPLETED	0	2026-01-07 15:53:38.043	28s	26s	61.3%	5.9 MB	12 MB	2.9 GB	5.5 KB
17	19/41a5f3	nf-1941a5f37f74fd3fa3e0d35f3331fcdc-61a88	NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa)	COMPLETED	0	2026-01-07 15:54:08.047	22s	21s	74.1%	5.9 MB	12 MB	2.9 GB	5.5 KB
18	48/4c5cf0	nf-484c5cf068060d3f9c007c28f2aff0cd-594ae	NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa)	COMPLETED	0	2026-01-07 15:54:08.102	21.9s	21s	76.3%	4.6 MB	12 MB	2.9 GB	5.5 KB
9	2a/b814a8	nf-2ab814a874c0c1f88681cdb29c3acbf4-4efee	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R3)	COMPLETED	0	2026-01-07 15:54:33.008	1m 32s	1m 30s	105.3%	1.3 GB	4.3 GB	1 GB	2.2 MB
7	1c/e3a3e5	nf-1ce3a3e5c55d41f5c0b05fe9b37d30b5-34db9	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R2)	COMPLETED	0	2026-01-07 15:49:01.885	7m 47s	7m 15s	90.0%	2.4 GB	60.7 GB	2.3 GB	24.4 MB
3	bf/fb1914	nf-bffb19144acdc16a70bdc4d1f0928b96-f9888	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R1)	COMPLETED	0	2026-01-07 15:48:55.472	8m 26s	7m 52s	90.5%	2.5 GB	60.8 GB	2.2 GB	26.3 MB
10	fb/4c839b	nf-fb4c839be77c06b912bc7cbb51e80146-fb6e7	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R3)	COMPLETED	0	2026-01-07 15:54:33.132	3m 14s	3m 13s	97.5%	2.6 GB	69.9 GB	1.1 GB	18.7 MB
15	a4/53ab97	nf-a453ab9724e0c2b5ad8c8cb61d7755d0-afe67	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R2)	COMPLETED	0	2026-01-07 15:56:53.032	58s	47s	113.0%	1.1 GB	4.6 GB	547.1 MB	2 MB
14	44/06df80	nf-4406df8011b28c17796003577a916d41-fd003	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R2)	COMPLETED	0	2026-01-07 15:56:08.015	1m 45s	1m 44s	97.4%	2.2 GB	60.6 GB	588.1 MB	12.5 MB
13	4f/feee45	nf-4ffeee4550acb65bcffa2d32d7604c8f-ec672	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1)	COMPLETED	0	2026-01-07 15:57:52.927	2m 10s	2m 8s	103.8%	1.1 GB	4.6 GB	1.3 GB	2 MB
19	e2/43ffec	nf-e243ffece5c2016f033d28774471aa8e-7d82d	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R3)	COMPLETED	0	2026-01-07 15:57:57.951	3m 10s	3m 3s	103.4%	1.2 GB	4.7 GB	2.2 GB	2.1 MB
12	cc/085b99	nf-cc085b99b0c461417ee3c5e57434860a-ac24d	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R1)	COMPLETED	0	2026-01-07 15:57:22.966	4m 11s	4m 10s	99.3%	2.3 GB	60.6 GB	1.4 GB	17.7 MB
20	48/a1288d	nf-48a1288d02c81725c3d22f9caabad184-5869f	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R3)	COMPLETED	0	2026-01-07 15:57:53.033	6m 59s	6m 55s	91.6%	2.7 GB	70 GB	2.3 GB	20.9 MB
21	c5/4115c1	nf-c54115c1334f80710da89a4c0b351050-6953a	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_INDEX (genome.fa)	COMPLETED	0	2026-01-07 16:00:08.000	3m 51s	2m 44s	205.4%	18 GB	22.2 GB	2.9 GB	10.8 GB
24	9a/3065f0	nf-9a3065f0441d0bdd06bd2cc559ee1480-ebd7f	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3)	COMPLETED	0	2026-01-07 16:05:10.597	32m 38s	32m 37s	579.8%	21.4 GB	21.8 GB	11.8 GB	2.5 GB
22	5b/dbafec	nf-5bdbafec86deed44264feaf88ea990b2-3db86	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R1)	COMPLETED	0	2026-01-07 16:05:10.500	47m 24s	47m 15s	587.1%	20.2 GB	20.7 GB	13 GB	5.5 GB
23	15/29f288	nf-1529f28812542e3da900aca4944ac47c-9f2e2	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2)	ABORTED	-	2026-01-07 16:05:10.557	-	-	-	-	-	-	-
25	7a/7957c3	nf-7a7957c3aa8943639f0c342ffb2513dd-f87f7	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R1)	ABORTED	-	2026-01-07 16:05:10.643	-	-	-	-	-	-	-
