workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-feb-1,3359.554533496971,10697.0,0.2%:3352.544561364579:0.0|0.0%:1|1,0.2%:3352.544561364579:0.0|0.0%:1|1,1.2%:3317.9419642378966:0.0|0.0%:0|0,2.7%:3268.415836051783:0.0|0.0%:0|0,8.1%:3087.6297293376238:0.0|0.0%:2|1
rnaseq-feb-2,3400.7812908959254,11472.0,0.0%:3400.7812908959254:0.0|0.0%:0|0,0.0%:3400.7812908959254:0.0|0.0%:0|0,1.2%:3358.468692127878:0.0|0.0%:0|0,2.7%:3308.5791825801834:0.0|0.0%:0|0,8.0%:3128.233547956206:0.0|0.0%:1|1
rnaseq-feb-3,3376.638171475345,10863.0,0.0%:3376.638171475345:0.0|0.0%:0|0,0.0%:3376.638171475345:0.0|0.0%:0|0,1.2%:3334.776003466405:0.0|0.0%:0|0,2.7%:3285.0117867906056:0.0|0.0%:0|0,8.0%:3105.9722341507327:0.0|0.0%:1|1
