workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-jul-1,22634.77212423537,13607.0,0.1%:22617.67110609155:211.471|1.6%,0.1%:22621.282057748704:787.413|5.8%,0.2%:22596.265310223174:1046.884|7.7%,0.3%:22565.472081267722:1068.355|7.9%,16.2%:18979.064239404586:1283.355|9.4%
chipseq-jul-2,22199.065654222555,13099.0,0.1%:22182.347926301925:182.28|1.4%,0.1%:22179.614714434338:572.28|4.4%,0.2%:22155.700568004446:766.42|5.9%,0.3%:22128.306040053707:1454.84|11.1%,16.4%:18551.051406449384:1095.7|8.4%
chipseq-jul-3,22512.25967912774,13266.0,0.1%:22494.622540097753:390.744|2.9%,0.1%:22492.002428994154:790.116|6.0%,0.2%:22467.66783269631:800.116|6.0%,0.3%:22440.19496471362:946.86|7.1%,16.4%:18827.49565587753:1556.232|11.7%
