workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-aug-1,10315.945530093582,24817.0,0.0%:10315.945530093582:808.442|3.3%,0.0%:10315.945530093582:363.628|1.5%,0.0%:10315.945530093582:970.256|3.9%,0.0%:10315.945530093582:757.442|3.1%,0.0%:10315.945530093582:1247.07|5.0%
rangeland-aug-2,10291.231976060828,24742.0,0.0%:10291.231976060828:566.15|2.3%,0.0%:10291.231976060828:452.1|1.8%,0.0%:10291.231976060828:682.2|2.8%,0.0%:10291.231976060828:515.15|2.1%,0.0%:10291.231976060828:1283.25|5.2%
rangeland-aug-3,10311.647835228388,24839.0,0.0%:10311.647835228388:737.999|3.0%,0.0%:10311.647835228388:415.666|1.7%,0.0%:10311.647835228388:860.332|3.5%,0.0%:10311.647835228388:637.999|2.6%,0.0%:10311.647835228388:1024.665|4.1%
