workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-aug-1,10965.55288724591,45898.0,0.0%:10964.68125748355:727.286|1.6%,0.0%:10962.393984316106:1074.048|2.3%,0.1%:10957.60055069283:1203.81|2.6%,1.3%:10821.313745162055:1347.81|2.9%,6.8%:10223.948431803328:621.286|1.4%
mag-aug-2,10862.250385541476,44188.0,0.0%:10862.250385541476:183.497|0.4%,0.0%:10861.246328457662:999.988|2.3%,0.1%:10856.551868638911:1090.988|2.5%,0.5%:10806.696561473495:0.0|0.0%,7.0%:10096.776162976215:1061.485|2.4%
mag-aug-3,11027.18074385959,46342.0,0.0%:11025.8041680359:631.508|1.4%,0.0%:11023.491550376173:891.508|1.9%,0.1%:11018.703131027514:780.508|1.7%,1.5%:10861.157538661808:687.631|1.5%,6.6%:10299.442800531539:418.631|0.9%
