workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-dec-1,7377.185951743846,24817.0,0.0%:7377.185951743846:0.0|0.0%:0|0,0.0%:7377.185951743846:0.0|0.0%:0|0,2.1%:7224.175179640402:220.814|0.9%:22|1,4.6%:7037.032818130019:220.814|0.9%:19|1,9.6%:6666.856078766586:0.0|0.0%:0|0
rangeland-dec-2,7367.258731177613,24742.0,0.0%:7367.258731177613:0.0|0.0%:0|0,0.0%:7367.258731177613:0.0|0.0%:0|0,2.0%:7218.276761324561:0.05|0.0%:21|1,4.5%:7036.676782145674:137.05|0.6%:18|1,9.6%:6657.508100223744:0.0|0.0%:17|1
rangeland-dec-3,7378.16964188436,24839.0,0.0%:7378.16964188436:0.0|0.0%:0|0,0.0%:7378.16964188436:0.0|0.0%:0|0,2.0%:7228.763565735155:0.333|0.0%:21|1,4.5%:7047.077964413039:421.333|1.7%:18|1,9.6%:6667.479180043781:0.0|0.0%:17|1
