workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-may-1,22565.472081267722,13607.0,0.0%:22565.472081267722:211.471|1.6%,0.0%:22565.472081267722:787.413|5.8%,0.0%:22565.472081267722:0.0|0.0%,0.0%:22565.472081267722:788.413|5.8%,17.8%:18550.61972969687:499.942|3.7%
chipseq-may-2,22128.306040053707,13099.0,0.0%:22128.306040053707:182.28|1.4%,0.0%:22128.306040053707:572.28|4.4%,0.0%:22128.306040053707:250.14|1.9%,0.0%:22128.306040053707:471.28|3.6%,17.8%:18191.23433948235:325.28|2.5%
chipseq-may-3,22440.19496471362,13266.0,0.0%:22440.19496471362:390.744|2.9%,0.0%:22440.19496471362:790.116|6.0%,0.0%:22440.19496471362:254.372|1.9%,0.0%:22440.19496471362:534.744|4.0%,17.8%:18447.631937478014:303.744|2.3%
