workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-sep-1,7233.117189376426,24817.0,0.1%:7225.701381202125:272.814|1.1%:2|1,0.1%:7225.701381202125:272.814|1.1%:2|1,0.1%:7225.701381202125:272.814|1.1%:2|1,4.3%:6923.742286172026:0.0|0.0%:0|0,4.3%:6923.742286172026:0.0|0.0%:0|0
rangeland-sep-2,7222.8641821239735,24742.0,0.1%:7215.612599061595:267.05|1.1%:2|1,0.1%:7215.612599061595:267.05|1.1%:2|1,0.1%:7215.612599061595:267.05|1.1%:2|1,4.3%:6914.016697976513:0.0|0.0%:45|1,4.3%:6914.016697976513:0.0|0.0%:45|1
rangeland-sep-3,7233.685793970996,24839.0,0.1%:7226.36432065267:327.333|1.3%:2|1,0.1%:7226.36432065267:327.333|1.3%:2|1,0.1%:7226.36432065267:327.333|1.3%:2|1,4.3%:6924.501859675974:0.0|0.0%:45|1,4.3%:6924.501859675974:0.0|0.0%:45|1
