workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-nov-1,7347.994246959084,24817.0,0.0%:7347.994246959084:0.0|0.0%:0|0,0.0%:7347.994246959084:0.0|0.0%:0|0,2.4%:7171.918482431727:220.814|0.9%:24|1,4.1%:7047.310096452293:220.814|0.9%:15|1,4.1%:7047.310096452293:220.814|0.9%:15|1
rangeland-nov-2,7337.479953014174,24742.0,0.0%:7337.479953014174:0.0|0.0%:0|0,0.0%:7337.479953014174:0.0|0.0%:0|0,2.4%:7162.288981698906:137.05|0.6%:24|1,4.0%:7044.378874451723:0.05|0.0%:14|1,4.0%:7044.378874451723:0.05|0.0%:14|1
rangeland-nov-3,7348.415391829122,24839.0,0.0%:7348.415391829122:0.0|0.0%:0|0,0.0%:7348.415391829122:0.0|0.0%:0|0,2.4%:7172.838863292123:421.333|1.7%:24|1,4.0%:7054.82051865765:0.333|0.0%:14|1,4.0%:7054.82051865765:0.333|0.0%:14|1
