workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
sarek-sep-1,9430.389084263152,18299.0,0.0%:9426.233850394588:750.307|4.1%:6|3,0.1%:9422.616890185995:843.307|4.6%:12|3,0.2%:9414.790361196563:987.076|5.4%:23|5,0.2%:9411.32141417416:0.0|0.0%:47|1,0.2%:9411.34034235971:1160.845|6.3%:48|5
sarek-sep-2,9193.872865057572,17619.0,0.0%:9189.563797426019:800.236|4.5%:6|3,0.1%:9185.524883260776:802.236|4.6%:12|3,0.2%:9177.216840229781:866.236|4.9%:24|4,0.2%:9173.182744041862:0.0|0.0%:47|1,0.2%:9173.326858633598:1445.472|8.2%:39|6
sarek-sep-3,9536.006224057845,18878.0,0.0%:9532.847417962581:715.251|3.8%:6|3,0.1%:9529.338085393063:662.251|3.5%:12|3,0.1%:9521.720807307:503.834|2.7%:23|4,0.2%:9518.070284853864:0.0|0.0%:47|1,0.2%:9517.434922140714:1114.085|5.9%:48|5
