workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-feb-1,295.71019489612024,2003.0,0.2%:295.10728789384314:0.0|0.0%:3|1,0.2%:295.10728789384314:0.0|0.0%:3|1,0.8%:293.29856688701216:0.0|0.0%:24|1,3.3%:285.9203640894166:0.0|0.0%:0|0,8.2%:271.48983895829065:0.0|0.0%:2|1
montage-feb-2,278.28370633373936,1814.0,0.2%:277.6922996935401:0.0|0.0%:0|0,0.2%:277.6922996935401:0.0|0.0%:0|0,0.9%:275.91807977294246:0.0|0.0%:0|0,3.4%:268.9197678639185:0.0|0.0%:0|0,8.2%:255.38462043935917:0.0|0.0%:0|0
montage-feb-3,269.0744428972281,1884.0,0.2%:268.5026077210554:0.0|0.0%:0|0,0.2%:268.5026077210554:0.0|0.0%:0|0,0.9%:266.7871021925376:0.0|0.0%:0|0,3.4%:260.0203859411615:0.0|0.0%:0|0,8.2%:246.93315815921073:0.0|0.0%:0|0
