workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-jul-1,440.2139326882773,2003.0,0.0%:440.2139326882773:0.0|0.0%:5|1,0.0%:440.2139326882773:47.0|2.3%:2|2,0.0%:440.2139326882773:0.0|0.0%:1|1,0.4%:438.2699064889671:356.0|17.8%:9|2,0.4%:438.2699064889671:111.0|5.5%:1|1
montage-jul-2,414.17304520503865,1814.0,0.0%:414.17304520503865:0.0|0.0%:5|1,0.0%:414.17304520503865:99.0|5.5%:1|1,0.0%:414.17304520503865:0.0|0.0%:0|0,0.4%:412.34401801816654:497.0|27.4%:9|2,0.4%:412.34401801816654:0.0|0.0%:0|0
montage-jul-3,400.4667857482922,1884.0,0.0%:400.4667857482922:0.0|0.0%:5|1,0.0%:400.4667857482922:96.0|5.1%:1|1,0.0%:400.4667857482922:0.0|0.0%:0|0,0.4%:398.698286694448:385.0|20.4%:9|2,0.4%:398.698286694448:0.0|0.0%:0|0
