workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-apr-1,438.2699064889671,2003.0,0.0%:438.2699064889671:0.0|0.0%:5|1,0.0%:438.2699064889671:47.0|2.3%:2|2,0.0%:438.2699064889671:0.0|0.0%:1|1,0.0%:438.2699064889671:111.0|5.5%:4|2,0.0%:438.2699064889671:111.0|5.5%:3|2
montage-apr-2,412.34401801816654,1814.0,0.0%:412.34401801816654:0.0|0.0%:5|1,0.0%:412.34401801816654:99.0|5.5%:1|1,0.0%:412.34401801816654:0.0|0.0%:0|0,0.0%:412.34401801816654:202.0|11.1%:1|1,0.0%:412.34401801816654:0.0|0.0%:1|1
montage-apr-3,398.698286694448,1884.0,0.0%:398.698286694448:0.0|0.0%:5|1,0.0%:398.698286694448:96.0|5.1%:1|1,0.0%:398.698286694448:0.0|0.0%:0|0,0.0%:398.698286694448:92.0|4.9%:1|1,0.0%:398.698286694448:0.0|0.0%:1|1
