task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cpu_model
1,-,351691,NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,samplesheet_full.csv,NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1725525530585,1764568330619,1764568332332,1747,1000,-,72.7,0.0,8818688,32034816,8818688,32038912,680304,1047,244,17,5783552,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
10,-,353259,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC,A549_R3,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,25769803776,1,1725526901678,1764569701722,1764569755251,53573,51000,-,106.1,4.4,1468592128,4567715840,1470124032,4629200896,1106440281,2308258,2131387,6380,44957696,2543616,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
9,-,354561,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT,A549_R3,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R3),COMPLETED,0,-,quay.io/biocontainers/nanoplot:1.41.0--pyhdfd78af_0,2,14400000,-,12884901888,1,1725526955265,1764569755351,1764569922515,167250,167000,-,89.9,7.5,2506985472,43192340480,2733142016,72914317312,1155788339,19639484,273109,551,162619392,10297344,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
6,-,362591,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT,A549_R2,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R2),COMPLETED,0,-,quay.io/biocontainers/nanoplot:1.41.0--pyhdfd78af_0,2,14400000,-,12884901888,1,1725528259252,1764571059348,1764571393289,334037,333000,-,93.7,7.9,2601381888,43210608640,2820104192,73016160256,2443373697,25587254,586135,551,4096,10395648,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
2,-,363869,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT,A549_R1,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R1),COMPLETED,0,-,quay.io/biocontainers/nanoplot:1.41.0--pyhdfd78af_0,2,14400000,-,12884901888,1,1725528288263,1764571088265,1764571425151,336888,336000,-,96.1,8.2,2681430016,43349336064,2900627456,73072230400,2412794190,27561037,578189,551,40960,10309632,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
8,-,383954,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725528664170,1764571464178,1764571472852,8682,8000,-,99.6,0.0,4882432,12550144,4882432,12554240,3147395811,5637,48248,19,5795840,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
20,-,384711,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725528672857,1764571472952,1764571481523,8666,8000,-,100.1,0.0,4845568,12550144,4845568,12554240,3147395792,5623,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
14,-,385519,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725528681531,1764571481624,1764571490149,8618,8000,-,99.9,0.0,4657152,12550144,4657152,12554240,3147395790,5622,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
17,-,386221,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725528690154,1764571490249,1764571498709,8555,8000,-,100.0,0.0,4898816,12550144,4898816,12554240,3147395791,5623,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
11,-,386998,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725528698713,1764571498809,1764571507271,8558,7000,-,99.9,0.0,4845568,12550144,4845568,12554240,3147395791,5622,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
