date,hour,day,month,weekday,ci
2023-01-01,00:00,01,01,Sunday,360.54
2023-01-01,01:00,01,01,Sunday,294.54
2023-01-01,02:00,01,01,Sunday,255.92
2023-01-01,03:00,01,01,Sunday,250.73
2023-01-01,04:00,01,01,Sunday,280.26
2023-01-01,05:00,01,01,Sunday,347.2
2023-01-01,06:00,01,01,Sunday,434.5
2023-01-01,07:00,01,01,Sunday,488.74
2023-01-01,08:00,01,01,Sunday,495.05
2023-01-01,09:00,01,01,Sunday,493.33
2023-01-01,10:00,01,01,Sunday,493.62
2023-01-01,11:00,01,01,Sunday,494.24
2023-01-01,12:00,01,01,Sunday,494.84
2023-01-01,13:00,01,01,Sunday,493.95
2023-01-01,14:00,01,01,Sunday,494.23
2023-01-01,15:00,01,01,Sunday,494.51
2023-01-01,16:00,01,01,Sunday,493.7
2023-01-01,17:00,01,01,Sunday,495.08
2023-01-01,18:00,01,01,Sunday,495.2
2023-01-01,19:00,01,01,Sunday,494.32
2023-01-01,20:00,01,01,Sunday,493.86
2023-01-01,21:00,01,01,Sunday,493.88
2023-01-01,22:00,01,01,Sunday,481.6
2023-01-01,23:00,01,01,Sunday,429.9
2023-01-02,00:00,02,01,Monday,369.84
2023-01-02,01:00,02,01,Monday,321.09
2023-01-02,02:00,02,01,Monday,296.31
2023-01-02,03:00,02,01,Monday,300.74
2023-01-02,04:00,02,01,Monday,333.03
2023-01-02,05:00,02,01,Monday,394.34
2023-01-02,06:00,02,01,Monday,454.42
2023-01-02,07:00,02,01,Monday,491.78
2023-01-02,08:00,02,01,Monday,496.76
2023-01-02,09:00,02,01,Monday,496.0
2023-01-02,10:00,02,01,Monday,496.22
2023-01-02,11:00,02,01,Monday,496.47
2023-01-02,12:00,02,01,Monday,495.77
2023-01-02,13:00,02,01,Monday,494.97
2023-01-02,14:00,02,01,Monday,495.94
2023-01-02,15:00,02,01,Monday,494.96
2023-01-02,16:00,02,01,Monday,495.44
2023-01-02,17:00,02,01,Monday,496.19
2023-01-02,18:00,02,01,Monday,495.34
2023-01-02,19:00,02,01,Monday,495.26
2023-01-02,20:00,02,01,Monday,495.54
2023-01-02,21:00,02,01,Monday,495.48
2023-01-02,22:00,02,01,Monday,482.75
2023-01-02,23:00,02,01,Monday,431.89
2023-01-03,00:00,03,01,Tuesday,372.27
2023-01-03,01:00,03,01,Tuesday,320.15
2023-01-03,02:00,03,01,Tuesday,286.12
2023-01-03,03:00,03,01,Tuesday,287.63
2023-01-03,04:00,03,01,Tuesday,314.02
2023-01-03,05:00,03,01,Tuesday,372.7
2023-01-03,06:00,03,01,Tuesday,441.47
2023-01-03,07:00,03,01,Tuesday,489.51
2023-01-03,08:00,03,01,Tuesday,497.08
2023-01-03,09:00,03,01,Tuesday,497.27
2023-01-03,10:00,03,01,Tuesday,496.71
2023-01-03,11:00,03,01,Tuesday,496.09
2023-01-03,12:00,03,01,Tuesday,495.79
2023-01-03,13:00,03,01,Tuesday,494.82
2023-01-03,14:00,03,01,Tuesday,495.5
2023-01-03,15:00,03,01,Tuesday,494.54
2023-01-03,16:00,03,01,Tuesday,494.53
2023-01-03,17:00,03,01,Tuesday,495.4
2023-01-03,18:00,03,01,Tuesday,495.39
2023-01-03,19:00,03,01,Tuesday,495.11
2023-01-03,20:00,03,01,Tuesday,495.92
2023-01-03,21:00,03,01,Tuesday,497.56
2023-01-03,22:00,03,01,Tuesday,485.04
2023-01-03,23:00,03,01,Tuesday,439.79
2023-01-04,00:00,04,01,Wednesday,389.86
2023-01-04,01:00,04,01,Wednesday,347.32
2023-01-04,02:00,04,01,Wednesday,327.04
2023-01-04,03:00,04,01,Wednesday,325.04
2023-01-04,04:00,04,01,Wednesday,353.22
2023-01-04,05:00,04,01,Wednesday,399.54
2023-01-04,06:00,04,01,Wednesday,451.62
2023-01-04,07:00,04,01,Wednesday,490.74
2023-01-04,08:00,04,01,Wednesday,499.39
2023-01-04,09:00,04,01,Wednesday,499.43
2023-01-04,10:00,04,01,Wednesday,498.65
2023-01-04,11:00,04,01,Wednesday,498.57
2023-01-04,12:00,04,01,Wednesday,496.45
2023-01-04,13:00,04,01,Wednesday,495.68
2023-01-04,14:00,04,01,Wednesday,496.94
2023-01-04,15:00,04,01,Wednesday,496.43
2023-01-04,16:00,04,01,Wednesday,495.39
2023-01-04,17:00,04,01,Wednesday,495.52
2023-01-04,18:00,04,01,Wednesday,495.3
2023-01-04,19:00,04,01,Wednesday,495.32
2023-01-04,20:00,04,01,Wednesday,496.26
2023-01-04,21:00,04,01,Wednesday,497.71
2023-01-04,22:00,04,01,Wednesday,488.28
2023-01-04,23:00,04,01,Wednesday,449.48
2023-01-05,00:00,05,01,Thursday,404.33
2023-01-05,01:00,05,01,Thursday,367.09
2023-01-05,02:00,05,01,Thursday,347.88
2023-01-05,03:00,05,01,Thursday,343.45
2023-01-05,04:00,05,01,Thursday,367.13
2023-01-05,05:00,05,01,Thursday,405.66
2023-01-05,06:00,05,01,Thursday,457.01
2023-01-05,07:00,05,01,Thursday,495.77
2023-01-05,08:00,05,01,Thursday,499.99
2023-01-05,09:00,05,01,Thursday,500.27
2023-01-05,10:00,05,01,Thursday,499.73
2023-01-05,11:00,05,01,Thursday,500.11
2023-01-05,12:00,05,01,Thursday,500.27
2023-01-05,13:00,05,01,Thursday,499.74
2023-01-05,14:00,05,01,Thursday,499.57
2023-01-05,15:00,05,01,Thursday,498.44
2023-01-05,16:00,05,01,Thursday,499.48
2023-01-05,17:00,05,01,Thursday,499.64
2023-01-05,18:00,05,01,Thursday,500.11
2023-01-05,19:00,05,01,Thursday,500.23
2023-01-05,20:00,05,01,Thursday,500.44
2023-01-05,21:00,05,01,Thursday,500.65
2023-01-05,22:00,05,01,Thursday,491.61
2023-01-05,23:00,05,01,Thursday,458.02
2023-01-06,00:00,06,01,Friday,418.32
2023-01-06,01:00,06,01,Friday,384.04
2023-01-06,02:00,06,01,Friday,366.41
2023-01-06,03:00,06,01,Friday,365.91
2023-01-06,04:00,06,01,Friday,387.81
2023-01-06,05:00,06,01,Friday,426.94
2023-01-06,06:00,06,01,Friday,472.74
