date,hour,day,month,weekday,ci
2024-01-01,00:00,01,01,Monday,342.96
2024-01-01,01:00,01,01,Monday,289.73
2024-01-01,02:00,01,01,Monday,270.59
2024-01-01,03:00,01,01,Monday,265.3
2024-01-01,04:00,01,01,Monday,269.66
2024-01-01,05:00,01,01,Monday,286.69
2024-01-01,06:00,01,01,Monday,295.15
2024-01-01,07:00,01,01,Monday,304.01
2024-01-01,08:00,01,01,Monday,313.66
2024-01-01,09:00,01,01,Monday,328.05
2024-01-01,10:00,01,01,Monday,353.1
2024-01-01,11:00,01,01,Monday,400.0
2024-01-01,12:00,01,01,Monday,439.59
2024-01-01,13:00,01,01,Monday,464.43
2024-01-01,14:00,01,01,Monday,451.35
2024-01-01,15:00,01,01,Monday,399.93
2024-01-01,16:00,01,01,Monday,391.78
2024-01-01,17:00,01,01,Monday,370.74
2024-01-01,18:00,01,01,Monday,353.49
2024-01-01,19:00,01,01,Monday,333.49
2024-01-01,20:00,01,01,Monday,320.36
2024-01-01,21:00,01,01,Monday,309.19
2024-01-01,22:00,01,01,Monday,362.42
2024-01-01,23:00,01,01,Monday,451.29
2024-01-02,00:00,02,01,Tuesday,450.2
2024-01-02,01:00,02,01,Tuesday,442.26
2024-01-02,02:00,02,01,Tuesday,433.69
2024-01-02,03:00,02,01,Tuesday,430.66
2024-01-02,04:00,02,01,Tuesday,422.0
2024-01-02,05:00,02,01,Tuesday,408.52
2024-01-02,06:00,02,01,Tuesday,395.55
2024-01-02,07:00,02,01,Tuesday,391.63
2024-01-02,08:00,02,01,Tuesday,382.68
2024-01-02,09:00,02,01,Tuesday,359.17
2024-01-02,10:00,02,01,Tuesday,353.64
2024-01-02,11:00,02,01,Tuesday,374.1
2024-01-02,12:00,02,01,Tuesday,421.02
2024-01-02,13:00,02,01,Tuesday,445.71
2024-01-02,14:00,02,01,Tuesday,435.67
2024-01-02,15:00,02,01,Tuesday,431.46
2024-01-02,16:00,02,01,Tuesday,428.94
2024-01-02,17:00,02,01,Tuesday,415.31
2024-01-02,18:00,02,01,Tuesday,400.61
2024-01-02,19:00,02,01,Tuesday,408.41
2024-01-02,20:00,02,01,Tuesday,421.33
2024-01-02,21:00,02,01,Tuesday,425.99
2024-01-02,22:00,02,01,Tuesday,435.78
2024-01-02,23:00,02,01,Tuesday,453.17
2024-01-03,00:00,03,01,Wednesday,468.43
2024-01-03,01:00,03,01,Wednesday,473.6
2024-01-03,02:00,03,01,Wednesday,471.88
2024-01-03,03:00,03,01,Wednesday,469.69
2024-01-03,04:00,03,01,Wednesday,464.96
2024-01-03,05:00,03,01,Wednesday,457.14
2024-01-03,06:00,03,01,Wednesday,449.2
2024-01-03,07:00,03,01,Wednesday,438.99
2024-01-03,08:00,03,01,Wednesday,428.06
2024-01-03,09:00,03,01,Wednesday,412.16
2024-01-03,10:00,03,01,Wednesday,412.81
2024-01-03,11:00,03,01,Wednesday,416.88
2024-01-03,12:00,03,01,Wednesday,433.02
2024-01-03,13:00,03,01,Wednesday,440.88
2024-01-03,14:00,03,01,Wednesday,435.36
2024-01-03,15:00,03,01,Wednesday,391.96
2024-01-03,16:00,03,01,Wednesday,370.81
2024-01-03,17:00,03,01,Wednesday,349.05
2024-01-03,18:00,03,01,Wednesday,334.85
2024-01-03,19:00,03,01,Wednesday,320.08
2024-01-03,20:00,03,01,Wednesday,320.1
2024-01-03,21:00,03,01,Wednesday,335.31
2024-01-03,22:00,03,01,Wednesday,369.06
2024-01-03,23:00,03,01,Wednesday,437.25
2024-01-04,00:00,04,01,Thursday,448.09
2024-01-04,01:00,04,01,Thursday,424.07
2024-01-04,02:00,04,01,Thursday,396.04
2024-01-04,03:00,04,01,Thursday,376.2
2024-01-04,04:00,04,01,Thursday,361.04
2024-01-04,05:00,04,01,Thursday,355.91
2024-01-04,06:00,04,01,Thursday,360.7
2024-01-04,07:00,04,01,Thursday,368.79
2024-01-04,08:00,04,01,Thursday,380.69
2024-01-04,09:00,04,01,Thursday,402.35
2024-01-04,10:00,04,01,Thursday,410.99
2024-01-04,11:00,04,01,Thursday,414.57
2024-01-04,12:00,04,01,Thursday,410.82
2024-01-04,13:00,04,01,Thursday,376.21
2024-01-04,14:00,04,01,Thursday,313.57
