task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,hu-worker-c27,f0/ccf819,nf-f0ccf819af03309280207ef142fe6fe4-fd88c,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1749184674993,1749184676000,1749184677000,2007,0,-,41.2,0.0,2859008,11575296,2859008,11579392,690205,9279,247,18,6078464,20480,2,0,/input/data/work/f0/ccf819af03309280207ef142fe6fe4,true,-
3,hu-worker-c28,1c/24772e,nf-1c24772ead44e06978003e6d0a4e88d4-6de2e,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1749184674944,1749184684000,1749184696000,21056,12000,-,97.6,0.0,6262784,12410880,6262784,12414976,3147403153,5952,48261,20,9809920,16384,34,1933,/input/data/work/1c/24772ead44e06978003e6d0a4e88d4,true,-
214,hu-worker-c35,84/78fea7,nf-8478fea75e0e91565a57232c3332e2f2-98810,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1749184700409,1749184701000,1749184702000,1591,0,-,51.6,0.0,2904064,11575296,2904064,11579392,102199,26547,195,23,520192,20480,3,2,/input/data/work/84/78fea75e0e91565a57232c3332e2f2,true,-
1,hu-worker-c35,95/8fd219,nf-958fd2199b5f6a59bc0a9a72b174f049-43d96,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1749184675051,1749184685000,1749184710000,34949,24000,-,99.9,1.1,2855415808,2876383232,2855415808,2876387328,916296382,25693126,112010,3154,2514944,25702400,48,942,/input/data/work/95/8fd2199b5f6a59bc0a9a72b174f049,true,-
58,hu-worker-c30,33/8970e4,nf-338970e4834936d0aaed66c35a3adf82-11040,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184684856,1749184688000,1749184750000,65144,61000,-,106.2,0.3,443244544,3957350400,443518976,4024463360,633527918,1726383,1203621,5470,0,2199552,11,3,/input/data/work/33/8970e4834936d0aaed66c35a3adf82,true,-
72,hu-worker-c26,3d/04551f,nf-3d04551fb341aff2411c28fcca428023-3dc55,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184685016,1749184688000,1749184746000,60984,56000,-,105.5,0.2,455479296,3891286016,455479296,3956301824,591767151,1719340,1122057,5439,4218880,2146304,24,16,/input/data/work/3d/04551fb341aff2411c28fcca428023,true,-
70,hu-worker-c30,63/4dd512,nf-634dd512c17f8eb47b662a880e1aeef4-79ea0,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184685151,1749184687000,1749184745000,59849,57000,-,106.8,0.3,439013376,3889188864,439013376,3956301824,555672084,1718993,1051557,5445,20590592,2146304,11,2,/input/data/work/63/4dd512c17f8eb47b662a880e1aeef4,true,-
65,hu-worker-c34,d2/3f0572,nf-d23f0572fba6536cb3f0606338c69247-58921,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184685113,1749184695000,1749184755000,69887,59000,-,105.5,0.1,401608704,3608817664,402145280,3610116096,589141711,1729977,1116928,5462,4194304,2158592,5,3,/input/data/work/d2/3f0572fba6536cb3f0606338c69247,true,-
7,hu-worker-c28,3d/329efb,nf-3d329efb33abde225d1070f1ff19b99d-d70cc,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184683881,1749184684000,1749184763000,79119,78000,-,104.9,0.1,405401600,3679076352,405401600,3679080448,770943112,1748401,1472006,5459,5885952,2306048,61,0,/input/data/work/3d/329efb33abde225d1070f1ff19b99d,true,-
46,hu-worker-c30,9b/1295d5,nf-9b1295d57dc21c3fdf28bc712df7c5d1-d86ee,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184684680,1749184687000,1749184759000,74320,71000,-,104.0,0.3,400064512,3608817664,400064512,3675930624,670677873,1758074,1276176,5550,30826496,2281472,124,1,/input/data/work/9b/1295d57dc21c3fdf28bc712df7c5d1,true,-
49,hu-worker-c28,9e/5faf7f,nf-9e5faf7f0041a4fd16dbbca18ba32284-468a3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184684721,1749184685000,1749184763000,78279,77000,-,104.5,0.1,401588224,3608817664,401731584,3610116096,780320574,1754322,1490320,5499,0,2281472,11,8,/input/data/work/9e/5faf7f0041a4fd16dbbca18ba32284,true,-
60,hu-worker-c28,90/39240b,nf-9039240bf453737c2b6ce635b21b6162-40211,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184684928,1749184685000,1749184763000,78072,77000,-,104.3,0.2,481644544,3893383168,483528704,3956301824,772894185,1735537,1475818,5469,7307264,2256896,10,8,/input/data/work/90/39240bf453737c2b6ce635b21b6162,true,-
57,hu-worker-c35,00/a3430d,nf-00a3430da90a1b98f78da403c3cb681f-e94a7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184684974,1749184685000,1749184758000,73026,71000,-,104.4,0.1,401387520,3608817664,401387520,3675930624,610683845,1723937,1159006,5469,8019968,2273280,11,9,/input/data/work/00/a3430da90a1b98f78da403c3cb681f,true,-
62,hu-worker-c31,ea/d23401,nf-ead23401502a315363cfed4d17cd107e-c8d20,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184685069,1749184691000,1749184760000,74931,67000,-,105.2,0.3,432513024,3889188864,432545792,3954204672,595296914,1730271,1128950,5486,4194304,2183168,6,13,/input/data/work/ea/d23401502a315363cfed4d17cd107e,true,-
66,hu-worker-c31,dc/5bf230,nf-dc5bf230bc141d12b3a762eae4b9cd1a-ef941,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184685251,1749184691000,1749184762000,76749,70000,-,104.6,0.3,401113088,3813302272,402489344,3880415232,601053976,1719623,1140195,5490,0,2244608,6,2,/input/data/work/dc/5bf230bc141d12b3a762eae4b9cd1a,true,-
80,hu-worker-c31,8d/8559cf,nf-8d8559cfd0733f65323aeeb4da26e323-e4d00,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184685781,1749184691000,1749184762000,76219,70000,-,105.4,0.3,402386944,3608817664,402739200,3675930624,599625278,1727105,1137402,5452,0,2203648,6,1,/input/data/work/8d/8559cfd0733f65323aeeb4da26e323,true,-
37,hu-worker-c30,ff/412a82,nf-ff412a821d29be53cbae77920684eb47-be1bc,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1749184684385,1749184688000,1749184766000,81615,76000,-,105.1,0.3,441028608,3752865792,441184256,3812253696,730885926,1745742,1393769,5458,0,2314240,11,10,/input/data/work/ff/412a821d29be53cbae77920684eb47,true,-
