test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.56,14.58,41.30
CPUStress,32,10,67.04,14.61,40.30
CPUStress,32,20,77.87,14.70,40.80
CPUStress,32,30,87.19,14.65,41.70
CPUStress,32,40,96.62,14.75,43.00
CPUStress,32,50,102.94,14.79,43.90
CPUStress,32,60,111.72,15.03,46.20
CPUStress,32,70,116.15,14.91,47.30
CPUStress,32,80,120.72,14.89,48.20
CPUStress,32,90,124.30,14.82,49.70
CPUStress,32,100,125.55,14.79,50.90
ipsec,32,100,136.92,14.55,52.10
VMStress,32,100,114.88,38.17,48.80
maximize,32,100,125.45,21.44,51.70
