test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.98,14.54,30.30
CPUStress,32,10,66.17,14.53,32.40
CPUStress,32,20,77.47,14.65,34.50
CPUStress,32,30,86.84,14.57,37.30
CPUStress,32,40,95.68,14.65,39.00
CPUStress,32,50,103.01,14.73,40.90
CPUStress,32,60,110.43,14.86,43.20
CPUStress,32,70,115.38,14.86,45.80
CPUStress,32,80,121.81,14.96,47.00
CPUStress,32,90,124.09,14.81,48.50
CPUStress,32,100,124.77,14.69,49.20
ipsec,32,100,136.58,14.57,50.90
VMStress,32,100,115.47,37.36,48.60
maximize,32,100,124.60,21.76,51.00
