test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.60,14.58,41.10
CPUStress,32,10,66.77,14.66,40.10
CPUStress,32,20,78.34,14.74,40.90
CPUStress,32,30,87.55,14.79,42.00
CPUStress,32,40,94.31,14.57,42.80
CPUStress,32,50,103.62,14.89,44.60
CPUStress,32,60,109.82,14.85,46.60
CPUStress,32,70,117.23,15.09,47.50
CPUStress,32,80,121.16,15.03,48.80
CPUStress,32,90,124.60,15.00,50.00
CPUStress,32,100,125.27,14.90,50.60
ipsec,32,100,136.40,14.56,51.50
VMStress,32,100,115.24,37.91,48.80
maximize,32,100,124.75,21.29,51.60
