date,start,actual
2024-08-09,20:00,675.23
2024-08-09,21:00,633.66
2024-08-09,22:00,493.72
2024-08-09,23:00,381.16
2024-08-10,00:00,327.62
2024-08-10,01:00,288.36
2024-08-10,02:00,277.62
2024-08-10,03:00,303.78
2024-08-10,04:00,373.64
2024-08-10,05:00,421.3
2024-08-10,06:00,528.05
2024-08-10,07:00,605.98
2024-08-10,08:00,593.37
2024-08-10,09:00,587.25
2024-08-10,10:00,620.25
2024-08-10,11:00,629.87
2024-08-10,12:00,638.98
2024-08-10,13:00,639.56
2024-08-10,14:00,655.12
2024-08-10,15:00,660.34
2024-08-10,16:00,662.08
2024-08-10,17:00,663.33
2024-08-10,18:00,627.51
2024-08-10,19:00,631.05
2024-08-10,20:00,635.06
2024-08-10,21:00,627.12
2024-08-10,22:00,484.07
2024-08-10,23:00,402.16
2024-08-11,00:00,339.13
2024-08-11,01:00,304.13
2024-08-11,02:00,294.73
2024-08-11,03:00,308.35
2024-08-11,04:00,340.1
2024-08-11,05:00,433.86
2024-08-11,06:00,535.9
2024-08-11,07:00,603.84
2024-08-11,08:00,579.81
2024-08-11,09:00,587.33
2024-08-11,10:00,588.41
2024-08-11,11:00,597.77
2024-08-11,12:00,607.02
2024-08-11,13:00,615.64
2024-08-11,14:00,627.99
2024-08-11,15:00,640.26
2024-08-11,16:00,631.66
2024-08-11,17:00,623.73
2024-08-11,18:00,617.25
2024-08-11,19:00,601.91
2024-08-11,20:00,584.01
2024-08-11,21:00,560.5
2024-08-11,22:00,485.44
2024-08-11,23:00,444.38
2024-08-12,00:00,420.61
2024-08-12,01:00,399.49
2024-08-12,02:00,403.39
2024-08-12,03:00,406.68
2024-08-12,04:00,429.17
2024-08-12,05:00,458.6
2024-08-12,06:00,511.2
2024-08-12,07:00,539.5
2024-08-12,08:00,536.19
2024-08-12,09:00,554.94
2024-08-12,10:00,573.6
2024-08-12,11:00,571.33
2024-08-12,12:00,595.04
2024-08-12,13:00,591.82
2024-08-12,14:00,581.16
2024-08-12,15:00,574.5
2024-08-12,16:00,582.83
2024-08-12,17:00,590.68
2024-08-12,18:00,593.94
2024-08-12,19:00,601.28
2024-08-12,20:00,592.31
2024-08-12,21:00,570.02
2024-08-12,22:00,512.84
2024-08-12,23:00,481.81
2024-08-13,00:00,421.92
2024-08-13,01:00,429.05
2024-08-13,02:00,409.96
2024-08-13,03:00,425.41
2024-08-13,04:00,428.0
2024-08-13,05:00,495.2
2024-08-13,06:00,544.63
2024-08-13,07:00,581.3
2024-08-13,08:00,560.16
2024-08-13,09:00,570.58
2024-08-13,10:00,579.9
2024-08-13,11:00,602.22
2024-08-13,12:00,606.03
2024-08-13,13:00,614.55
2024-08-13,14:00,626.12
2024-08-13,15:00,628.12
2024-08-13,16:00,637.21
2024-08-13,17:00,642.43
2024-08-13,18:00,648.3
2024-08-13,19:00,655.66
2024-08-13,20:00,625.47
2024-08-13,21:00,602.86
2024-08-13,22:00,569.19
2024-08-13,23:00,547.92
2024-08-14,00:00,536.1
2024-08-14,01:00,518.95
2024-08-14,02:00,517.93
2024-08-14,03:00,500.81
2024-08-14,04:00,516.52
2024-08-14,05:00,537.34
2024-08-14,06:00,562.01
2024-08-14,07:00,578.74
2024-08-14,08:00,567.06
2024-08-14,09:00,586.56
2024-08-14,10:00,596.84
2024-08-14,11:00,623.46
2024-08-14,12:00,639.15
2024-08-14,13:00,648.5
2024-08-14,14:00,659.82
2024-08-14,15:00,681.18
2024-08-14,16:00,685.97
2024-08-14,17:00,683.79
2024-08-14,18:00,671.67
2024-08-14,19:00,653.82
2024-08-14,20:00,635.93
2024-08-14,21:00,608.61
2024-08-14,22:00,529.55
2024-08-14,23:00,468.52
2024-08-15,00:00,427.82
2024-08-15,01:00,410.54
2024-08-15,02:00,398.59
2024-08-15,03:00,396.79
2024-08-15,04:00,403.63
2024-08-15,05:00,435.2
2024-08-15,06:00,528.33
2024-08-15,07:00,583.69
2024-08-15,08:00,541.56
2024-08-15,09:00,551.01
2024-08-15,10:00,587.42
2024-08-15,11:00,612.15
2024-08-15,12:00,614.07
2024-08-15,13:00,635.12
2024-08-15,14:00,647.8
2024-08-15,15:00,655.31
2024-08-15,16:00,656.18
2024-08-15,17:00,654.81
2024-08-15,18:00,655.88
2024-08-15,19:00,646.33
2024-08-15,20:00,627.59
2024-08-15,21:00,595.31
2024-08-15,22:00,537.76
2024-08-15,23:00,447.76
2024-08-16,00:00,362.29
2024-08-16,01:00,330.29
2024-08-16,02:00,327.45
2024-08-16,03:00,342.73
2024-08-16,04:00,385.95
2024-08-16,05:00,440.93
2024-08-16,06:00,516.63
2024-08-16,07:00,546.86
2024-08-16,08:00,569.69
2024-08-16,09:00,601.75
2024-08-16,10:00,615.58
2024-08-16,11:00,624.56
2024-08-16,12:00,619.24
2024-08-16,13:00,603.1
2024-08-16,14:00,587.78
2024-08-16,15:00,591.71
2024-08-16,16:00,595.01
2024-08-16,17:00,584.19
2024-08-16,18:00,604.62
2024-08-16,19:00,615.02
2024-08-16,20:00,613.99
2024-08-16,21:00,556.51
2024-08-16,22:00,392.76
2024-08-16,23:00,288.03
2024-08-17,00:00,226.09
2024-08-17,01:00,217.25
2024-08-17,02:00,198.78
2024-08-17,03:00,200.01
2024-08-17,04:00,226.54
2024-08-17,05:00,280.25
2024-08-17,06:00,387.58
2024-08-17,07:00,525.48
2024-08-17,08:00,554.71
2024-08-17,09:00,564.29
2024-08-17,10:00,566.81
2024-08-17,11:00,580.83
2024-08-17,12:00,591.95
2024-08-17,13:00,606.91
2024-08-17,14:00,615.84
2024-08-17,15:00,630.63
2024-08-17,16:00,631.69
2024-08-17,17:00,639.91
2024-08-17,18:00,657.73
2024-08-17,19:00,673.47
2024-08-17,20:00,677.92
2024-08-17,21:00,617.59
2024-08-17,22:00,488.97
2024-08-17,23:00,390.55
