date,start,actual
2024-07-01,00:00,705.19
2024-07-01,01:00,706.74
2024-07-01,02:00,704.55
2024-07-01,03:00,700.56
2024-07-01,04:00,699.3
2024-07-01,05:00,685.92
2024-07-01,06:00,688.67
2024-07-01,07:00,687.12
2024-07-01,08:00,679.75
2024-07-01,09:00,676.38
2024-07-01,10:00,676.22
2024-07-01,11:00,675.76
2024-07-01,12:00,681.21
2024-07-01,13:00,683.54
2024-07-01,14:00,690.37
2024-07-01,15:00,679.8
2024-07-01,16:00,678.69
2024-07-01,17:00,691.57
2024-07-01,18:00,697.24
2024-07-01,19:00,708.19
2024-07-01,20:00,702.38
2024-07-01,21:00,697.58
2024-07-01,22:00,704.78
2024-07-01,23:00,696.25
2024-07-02,00:00,684.02
2024-07-02,01:00,680.4
2024-07-02,02:00,687.21
2024-07-02,03:00,690.54
2024-07-02,04:00,689.07
2024-07-02,05:00,682.96
2024-07-02,06:00,675.36
2024-07-02,07:00,667.95
2024-07-02,08:00,662.0
2024-07-02,09:00,658.32
2024-07-02,10:00,653.92
2024-07-02,11:00,651.89
2024-07-02,12:00,655.32
2024-07-02,13:00,665.34
2024-07-02,14:00,683.45
2024-07-02,15:00,688.59
2024-07-02,16:00,682.5
2024-07-02,17:00,693.41
2024-07-02,18:00,703.99
2024-07-02,19:00,713.13
2024-07-02,20:00,715.63
2024-07-02,21:00,714.93
2024-07-02,22:00,712.06
2024-07-02,23:00,708.97
2024-07-03,00:00,707.3
2024-07-03,01:00,705.37
2024-07-03,02:00,705.13
2024-07-03,03:00,703.0
2024-07-03,04:00,699.67
2024-07-03,05:00,688.19
2024-07-03,06:00,675.84
2024-07-03,07:00,662.0
2024-07-03,08:00,651.9
2024-07-03,09:00,640.54
2024-07-03,10:00,632.19
2024-07-03,11:00,626.91
2024-07-03,12:00,626.71
2024-07-03,13:00,636.82
2024-07-03,14:00,653.94
2024-07-03,15:00,667.37
2024-07-03,16:00,664.43
2024-07-03,17:00,665.96
2024-07-03,18:00,676.95
2024-07-03,19:00,675.73
2024-07-03,20:00,658.36
2024-07-03,21:00,644.99
2024-07-03,22:00,645.28
2024-07-03,23:00,642.06
2024-07-04,00:00,644.49
2024-07-04,01:00,643.89
2024-07-04,02:00,647.78
2024-07-04,03:00,654.99
2024-07-04,04:00,657.91
2024-07-04,05:00,648.81
2024-07-04,06:00,640.19
2024-07-04,07:00,631.89
2024-07-04,08:00,623.03
2024-07-04,09:00,616.0
2024-07-04,10:00,611.53
2024-07-04,11:00,609.54
2024-07-04,12:00,611.42
2024-07-04,13:00,619.18
2024-07-04,14:00,639.0
2024-07-04,15:00,654.23
2024-07-04,16:00,657.22
2024-07-04,17:00,661.79
2024-07-04,18:00,666.98
2024-07-04,19:00,665.42
2024-07-04,20:00,659.6
2024-07-04,21:00,652.48
2024-07-04,22:00,652.38
2024-07-04,23:00,649.26
2024-07-05,00:00,651.85
2024-07-05,01:00,651.15
2024-07-05,02:00,654.51
2024-07-05,03:00,661.07
2024-07-05,04:00,663.47
2024-07-05,05:00,654.2
2024-07-05,06:00,645.48
2024-07-05,07:00,637.14
2024-07-05,08:00,628.35
2024-07-05,09:00,621.42
2024-07-05,10:00,617.07
2024-07-05,11:00,615.29
2024-07-05,12:00,617.13
2024-07-05,13:00,624.57
2024-07-05,14:00,644.27
2024-07-05,15:00,659.49
2024-07-05,16:00,662.24
2024-07-05,17:00,666.87
2024-07-05,18:00,672.36
2024-07-05,19:00,671.38
2024-07-05,20:00,666.09
2024-07-05,21:00,659.38
2024-07-05,22:00,659.58
2024-07-05,23:00,656.57
2024-07-06,00:00,651.35
2024-07-06,01:00,652.06
2024-07-06,02:00,655.54
2024-07-06,03:00,656.71
2024-07-06,04:00,661.17
2024-07-06,05:00,661.54
2024-07-06,06:00,641.32
2024-07-06,07:00,624.61
2024-07-06,08:00,613.57
2024-07-06,09:00,606.48
2024-07-06,10:00,604.42
2024-07-06,11:00,604.82
2024-07-06,12:00,604.93
2024-07-06,13:00,611.9
2024-07-06,14:00,631.65
2024-07-06,15:00,654.82
2024-07-06,16:00,657.05
2024-07-06,17:00,659.86
2024-07-06,18:00,665.16
2024-07-06,19:00,664.81
2024-07-06,20:00,664.57
2024-07-06,21:00,659.95
2024-07-06,22:00,658.07
2024-07-06,23:00,660.89
2024-07-07,00:00,659.04
2024-07-07,01:00,659.77
2024-07-07,02:00,663.07
2024-07-07,03:00,664.07
2024-07-07,04:00,668.14
2024-07-07,05:00,667.75
2024-07-07,06:00,647.0
2024-07-07,07:00,630.09
2024-07-07,08:00,619.09
2024-07-07,09:00,612.09
2024-07-07,10:00,610.16
2024-07-07,11:00,610.84
2024-07-07,12:00,610.96
2024-07-07,13:00,617.9
2024-07-07,14:00,637.38
2024-07-07,15:00,660.42
2024-07-07,16:00,662.36
2024-07-07,17:00,665.26
2024-07-07,18:00,670.96
2024-07-07,19:00,671.2
2024-07-07,20:00,671.53
2024-07-07,21:00,667.32
2024-07-07,22:00,665.76
2024-07-07,23:00,668.77
2024-07-08,00:00,674.57
2024-07-08,01:00,673.52
2024-07-08,02:00,675.26
2024-07-08,03:00,679.72
2024-07-08,04:00,680.64
2024-07-08,05:00,670.83
2024-07-08,06:00,661.81
2024-07-08,07:00,653.34
2024-07-08,08:00,644.79
2024-07-08,09:00,638.17
2024-07-08,10:00,634.26
2024-07-08,11:00,632.94
2024-07-08,12:00,634.68
2024-07-08,13:00,641.24
2024-07-08,14:00,660.52
2024-07-08,15:00,675.7
2024-07-08,16:00,677.72
2024-07-08,17:00,682.51
2024-07-08,18:00,688.95
2024-07-08,19:00,689.88
2024-07-08,20:00,686.03
2024-07-08,21:00,680.64
2024-07-08,22:00,681.77
2024-07-08,23:00,679.12
2024-07-09,00:00,682.36
2024-07-09,01:00,681.2
2024-07-09,02:00,682.36
2024-07-09,03:00,686.08
2024-07-09,04:00,686.54
2024-07-09,05:00,676.53
2024-07-09,06:00,667.41
2024-07-09,07:00,658.9
2024-07-09,08:00,650.42
2024-07-09,09:00,643.92
2024-07-09,10:00,640.25
2024-07-09,11:00,638.97
2024-07-09,12:00,640.67
2024-07-09,13:00,646.96
2024-07-09,14:00,666.09
2024-07-09,15:00,681.26
2024-07-09,16:00,683.01
2024-07-09,17:00,687.87
2024-07-09,18:00,694.63
2024-07-09,19:00,696.2
2024-07-09,20:00,692.85
2024-07-09,21:00,687.92
2024-07-09,22:00,689.38
2024-07-09,23:00,686.85
2024-07-10,00:00,690.27
2024-07-10,01:00,688.98
2024-07-10,02:00,689.55
2024-07-10,03:00,692.52
2024-07-10,04:00,692.51
2024-07-10,05:00,682.32
2024-07-10,06:00,673.08
2024-07-10,07:00,664.53
2024-07-10,08:00,656.15
2024-07-10,09:00,649.75
2024-07-10,10:00,646.31
2024-07-10,11:00,645.06
2024-07-10,12:00,646.73
2024-07-10,13:00,652.77
2024-07-10,14:00,671.74
2024-07-10,15:00,686.89
2024-07-10,16:00,688.38
2024-07-10,17:00,693.29
2024-07-10,18:00,700.4
2024-07-10,19:00,702.6
2024-07-10,20:00,699.75
2024-07-10,21:00,695.3
2024-07-10,22:00,697.09
2024-07-10,23:00,694.7
2024-07-11,00:00,698.29
2024-07-11,01:00,696.88
2024-07-11,02:00,696.84
2024-07-11,03:00,699.04
2024-07-11,04:00,698.58
2024-07-11,05:00,688.19
2024-07-11,06:00,678.84
2024-07-11,07:00,670.25
2024-07-11,08:00,661.95
2024-07-11,09:00,655.68
2024-07-11,10:00,652.45
2024-07-11,11:00,651.23
2024-07-11,12:00,652.85
2024-07-11,13:00,658.67
2024-07-11,14:00,677.48
2024-07-11,15:00,692.6
2024-07-11,16:00,693.81
2024-07-11,17:00,698.79
2024-07-11,18:00,706.24
2024-07-11,19:00,709.07
2024-07-11,20:00,706.75
2024-07-11,21:00,702.78
2024-07-11,22:00,704.92
2024-07-11,23:00,702.66
2024-07-12,00:00,706.44
2024-07-12,01:00,704.9
2024-07-12,02:00,704.23
2024-07-12,03:00,705.64
2024-07-12,04:00,704.74
2024-07-12,05:00,694.14
2024-07-12,06:00,684.69
2024-07-12,07:00,676.04
2024-07-12,08:00,667.85
2024-07-12,09:00,661.7
2024-07-12,10:00,658.65
2024-07-12,11:00,657.48
2024-07-12,12:00,659.06
2024-07-12,13:00,664.65
