date,start,actual
2024-01-01,00:00,629.25
2024-01-01,01:00,630.13
2024-01-01,02:00,627.54
2024-01-01,03:00,623.54
2024-01-01,04:00,612.84
2024-01-01,05:00,592.87
2024-01-01,06:00,573.2
2024-01-01,07:00,568.03
2024-01-01,08:00,564.97
2024-01-01,09:00,566.12
2024-01-01,10:00,573.02
2024-01-01,11:00,575.02
2024-01-01,12:00,571.87
2024-01-01,13:00,570.54
2024-01-01,14:00,568.54
2024-01-01,15:00,577.39
2024-01-01,16:00,591.49
2024-01-01,17:00,605.24
2024-01-01,18:00,605.19
2024-01-01,19:00,610.94
2024-01-01,20:00,626.46
2024-01-01,21:00,630.22
2024-01-01,22:00,639.02
2024-01-01,23:00,642.37
2024-01-02,00:00,646.47
2024-01-02,01:00,644.82
2024-01-02,02:00,648.51
2024-01-02,03:00,649.75
2024-01-02,04:00,644.17
2024-01-02,05:00,622.78
2024-01-02,06:00,610.91
2024-01-02,07:00,608.13
2024-01-02,08:00,604.76
2024-01-02,09:00,605.41
2024-01-02,10:00,599.82
2024-01-02,11:00,598.44
2024-01-02,12:00,596.83
2024-01-02,13:00,600.65
2024-01-02,14:00,603.53
2024-01-02,15:00,616.38
2024-01-02,16:00,624.65
2024-01-02,17:00,629.56
2024-01-02,18:00,627.88
2024-01-02,19:00,637.64
2024-01-02,20:00,654.46
2024-01-02,21:00,662.93
2024-01-02,22:00,670.57
2024-01-02,23:00,671.24
2024-01-03,00:00,672.74
2024-01-03,01:00,672.29
2024-01-03,02:00,676.46
2024-01-03,03:00,672.64
2024-01-03,04:00,663.34
2024-01-03,05:00,651.85
2024-01-03,06:00,645.2
2024-01-03,07:00,637.17
2024-01-03,08:00,629.21
2024-01-03,09:00,622.81
2024-01-03,10:00,619.53
2024-01-03,11:00,616.48
2024-01-03,12:00,612.51
2024-01-03,13:00,602.62
2024-01-03,14:00,596.73
2024-01-03,15:00,599.67
2024-01-03,16:00,608.54
2024-01-03,17:00,618.93
2024-01-03,18:00,627.14
2024-01-03,19:00,633.7
2024-01-03,20:00,646.77
2024-01-03,21:00,655.47
2024-01-03,22:00,657.33
2024-01-03,23:00,661.07
2024-01-04,00:00,659.32
2024-01-04,01:00,661.8
2024-01-04,02:00,664.48
2024-01-04,03:00,669.37
2024-01-04,04:00,664.26
2024-01-04,05:00,644.4
2024-01-04,06:00,621.07
2024-01-04,07:00,608.46
2024-01-04,08:00,600.6
2024-01-04,09:00,593.0
2024-01-04,10:00,595.19
2024-01-04,11:00,598.66
2024-01-04,12:00,603.87
2024-01-04,13:00,611.04
2024-01-04,14:00,612.38
2024-01-04,15:00,616.65
2024-01-04,16:00,625.9
2024-01-04,17:00,640.32
2024-01-04,18:00,642.34
2024-01-04,19:00,648.03
2024-01-04,20:00,656.98
2024-01-04,21:00,664.33
2024-01-04,22:00,669.75
2024-01-04,23:00,675.47
2024-01-05,00:00,675.94
2024-01-05,01:00,674.31
2024-01-05,02:00,675.98
2024-01-05,03:00,678.4
2024-01-05,04:00,669.11
2024-01-05,05:00,647.25
2024-01-05,06:00,625.91
2024-01-05,07:00,608.12
2024-01-05,08:00,597.31
2024-01-05,09:00,591.38
2024-01-05,10:00,589.44
2024-01-05,11:00,591.3
2024-01-05,12:00,590.17
2024-01-05,13:00,597.33
2024-01-05,14:00,603.27
2024-01-05,15:00,608.12
2024-01-05,16:00,612.96
2024-01-05,17:00,622.63
2024-01-05,18:00,620.67
2024-01-05,19:00,627.76
2024-01-05,20:00,642.6
2024-01-05,21:00,644.74
2024-01-05,22:00,646.55
2024-01-05,23:00,653.71
2024-01-06,00:00,658.95
2024-01-06,01:00,661.27
2024-01-06,02:00,660.46
2024-01-06,03:00,655.63
2024-01-06,04:00,639.01
2024-01-06,05:00,615.81
2024-01-06,06:00,598.12
2024-01-06,07:00,584.66
2024-01-06,08:00,576.79
2024-01-06,09:00,565.51
2024-01-06,10:00,556.5
2024-01-06,11:00,556.9
2024-01-06,12:00,555.27
2024-01-06,13:00,559.39
2024-01-06,14:00,563.08
2024-01-06,15:00,576.84
2024-01-06,16:00,598.48
2024-01-06,17:00,621.81
2024-01-06,18:00,636.32
2024-01-06,19:00,645.56
2024-01-06,20:00,661.46
2024-01-06,21:00,666.9
2024-01-06,22:00,679.02
2024-01-06,23:00,685.6
2024-01-07,00:00,687.63
2024-01-07,01:00,688.53
2024-01-07,02:00,687.96
2024-01-07,03:00,687.56
2024-01-07,04:00,679.01
2024-01-07,05:00,659.89
2024-01-07,06:00,638.0
2024-01-07,07:00,622.04
2024-01-07,08:00,611.43
2024-01-07,09:00,603.61
2024-01-07,10:00,594.8
2024-01-07,11:00,594.87
2024-01-07,12:00,596.56
2024-01-07,13:00,596.95
2024-01-07,14:00,605.02
2024-01-07,15:00,608.22
2024-01-07,16:00,619.94
2024-01-07,17:00,629.96
2024-01-07,18:00,636.03
2024-01-07,19:00,649.32
2024-01-07,20:00,661.76
2024-01-07,21:00,661.28
2024-01-07,22:00,657.18
2024-01-07,23:00,658.91
2024-01-08,00:00,658.56
2024-01-08,01:00,661.06
2024-01-08,02:00,668.63
2024-01-08,03:00,669.19
2024-01-08,04:00,667.19
2024-01-08,05:00,659.12
2024-01-08,06:00,647.41
2024-01-08,07:00,639.88
2024-01-08,08:00,630.26
2024-01-08,09:00,628.39
2024-01-08,10:00,627.67
2024-01-08,11:00,621.32
2024-01-08,12:00,617.06
2024-01-08,13:00,615.49
2024-01-08,14:00,613.83
2024-01-08,15:00,609.86
2024-01-08,16:00,609.32
2024-01-08,17:00,616.96
2024-01-08,18:00,618.81
2024-01-08,19:00,625.27
2024-01-08,20:00,639.82
2024-01-08,21:00,647.92
2024-01-08,22:00,649.93
2024-01-08,23:00,648.94
2024-01-09,00:00,653.04
2024-01-09,01:00,657.44
2024-01-09,02:00,660.49
2024-01-09,03:00,663.94
2024-01-09,04:00,657.07
2024-01-09,05:00,644.73
2024-01-09,06:00,630.91
2024-01-09,07:00,623.81
2024-01-09,08:00,621.67
2024-01-09,09:00,615.49
2024-01-09,10:00,611.33
2024-01-09,11:00,609.95
2024-01-09,12:00,618.21
2024-01-09,13:00,620.52
2024-01-09,14:00,614.68
2024-01-09,15:00,605.97
2024-01-09,16:00,604.27
2024-01-09,17:00,604.83
2024-01-09,18:00,603.65
2024-01-09,19:00,623.19
2024-01-09,20:00,642.14
2024-01-09,21:00,652.77
2024-01-09,22:00,656.65
2024-01-09,23:00,656.5
2024-01-10,00:00,661.14
2024-01-10,01:00,660.46
2024-01-10,02:00,653.68
2024-01-10,03:00,654.84
2024-01-10,04:00,652.95
2024-01-10,05:00,637.57
2024-01-10,06:00,623.79
2024-01-10,07:00,613.61
2024-01-10,08:00,607.77
2024-01-10,09:00,605.91
2024-01-10,10:00,598.44
2024-01-10,11:00,593.66
2024-01-10,12:00,592.34
2024-01-10,13:00,593.64
2024-01-10,14:00,594.96
2024-01-10,15:00,601.44
2024-01-10,16:00,610.31
