region,task,machine,governor,runtime (h),energy consumption (kWh),average emissions (gCO2e),marginal emissions (gCO2e)
gb,trimgalore,gpg15,powersave,1.79,0.16,20.68,70.92
gb,trimgalore,gpg22,performance,0.86,0.17,17.52,66.27
gb,trimgalore,gpg22,powersave,0.86,0.16,19.31,67.49
gb,trimgalore,hu26,performance,1.05,0.005,0.55,43.31
gb,trimgalore,hu26,powersave,4.27,0.246,26.33,99.16
gb,trimgalore,server,performance,1.0,0.021,2.18,12.26
gb,trimgalore,server,powersave,0.99,0.02,2.49,8.47
de,bowtie2_build,gpg13,performance,0.25,0.022,4.78,9.55
de,bowtie2_build,gpg13,powersave,0.31,0.025,7.21,20.37
de,bowtie2_build,gpg14,performance,0.25,0.022,4.69,9.38
de,bowtie2_build,gpg14,powersave,0.31,0.025,4.81,15.3
de,bowtie2_build,gpg15,performance,0.25,0.024,5.1,10.26
de,bowtie2_build,gpg15,powersave,0.31,0.027,5.14,13.85
de,bowtie2_build,gpg22,performance,0.15,0.029,6.19,7.99
de,bowtie2_build,gpg22,powersave,0.15,0.027,5.61,10.85
de,bowtie2_build,hu26,performance,0.16,0.017,3.67,5.3
de,bowtie2_build,hu26,powersave,0.64,0.037,7.55,21.96
de,bowtie2_build,server,performance,0.14,0.004,0.94,1.11
de,bowtie2_build,server,powersave,0.14,0.003,0.66,1.67
de,fastp,gpg13,performance,0.14,0.013,2.52,3.12
de,fastp,gpg13,powersave,0.17,0.014,4.48,10.83
de,fastp,gpg14,performance,0.16,0.014,2.75,3.93
de,fastp,gpg14,powersave,0.15,0.013,2.43,6.38
de,fastp,gpg15,performance,0.17,0.017,3.26,5.12
de,fastp,gpg15,powersave,0.15,0.014,2.94,9.55
de,fastp,gpg22,performance,0.11,0.022,4.26,3.29
de,fastp,gpg22,powersave,0.11,0.022,5.24,12.83
de,fastp,hu26,performance,0.05,0.005,1.03,2.97
de,fastp,hu26,powersave,0.2,0.011,2.24,7.17
de,fastp,server,performance,0.05,0.002,0.33,0.95
de,fastp,server,powersave,0.05,0.001,0.22,0.64
de,fastqc,gpg13,performance,0.26,0.023,4.62,6.78
de,fastqc,gpg13,powersave,0.31,0.026,5.93,16.42
de,fastqc,gpg14,performance,0.26,0.023,4.53,6.67
de,fastqc,gpg14,powersave,0.31,0.025,5.11,12.6
de,fastqc,gpg15,performance,0.26,0.025,4.88,7.18
de,fastqc,gpg15,powersave,0.31,0.028,6.36,18.94
de,fastqc,gpg22,performance,0.13,0.025,4.97,3.66
de,fastqc,gpg22,powersave,0.13,0.024,6.65,18.37
de,fastqc,hu26,performance,0.16,0.017,3.47,3.68
de,fastqc,hu26,powersave,0.63,0.036,11.1,27.31
de,fastqc,server,performance,0.16,0.005,0.99,1.0
de,fastqc,server,powersave,0.16,0.003,0.95,2.43
de,trimgalore,gpg13,performance,1.5,0.046,11.52,88.52
de,trimgalore,gpg13,powersave,1.79,0.149,39.12,102.56
de,trimgalore,gpg14,performance,1.49,0.044,10.95,85.45
de,trimgalore,gpg14,powersave,1.79,0.146,39.3,108.24
de,trimgalore,gpg15,performance,1.56,0.053,13.36,96.69
de,trimgalore,gpg15,powersave,1.79,0.16,48.42,121.43
de,trimgalore,gpg22,performance,0.86,0.17,36.91,99.7
de,trimgalore,gpg22,powersave,0.86,0.16,43.86,116.23
de,trimgalore,hu26,performance,1.05,0.005,1.26,67.23
