test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,73.01,10.10,23.80
CPUStress,32,10,90.00,10.25,29.40
CPUStress,32,20,102.68,10.25,33.70
CPUStress,32,30,111.12,10.22,36.60
CPUStress,32,40,117.92,10.28,39.10
CPUStress,32,50,127.13,10.58,40.20
CPUStress,32,60,133.96,10.69,41.00
CPUStress,32,70,137.06,10.55,42.60
CPUStress,32,80,137.52,10.48,43.90
CPUStress,32,90,139.52,10.64,44.60
CPUStress,32,100,134.81,10.30,45.50
ipsec,32,100,134.84,10.10,47.80
VMStress,32,100,130.90,24.70,40.40
maximize,32,100,134.83,15.24,45.20
