test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,39.70,6.12,20.30
CPUStress,32,10,45.30,6.11,20.50
CPUStress,32,20,48.00,6.12,21.10
CPUStress,32,30,50.99,6.28,21.20
CPUStress,32,40,52.58,6.29,21.10
CPUStress,32,50,54.59,6.46,21.60
CPUStress,32,60,56.29,6.56,21.90
CPUStress,32,70,58.32,6.70,21.90
CPUStress,32,80,59.30,6.77,22.00
CPUStress,32,90,61.56,6.90,22.30
CPUStress,32,100,57.35,6.37,22.70
ipsec,32,100,56.60,5.96,23.00
VMStress,32,100,82.39,20.22,25.90
maximize,32,100,60.54,11.51,24.10
