test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,39.90,6.23,21.50
CPUStress,32,10,45.60,6.12,21.60
CPUStress,32,20,48.28,6.16,21.60
CPUStress,32,30,49.23,6.13,22.10
CPUStress,32,40,52.47,6.39,22.00
CPUStress,32,50,53.76,6.37,22.10
CPUStress,32,60,55.19,6.46,22.30
CPUStress,32,70,57.40,6.64,22.30
CPUStress,32,80,59.53,6.78,22.80
CPUStress,32,90,57.99,6.53,22.90
CPUStress,32,100,57.22,6.43,23.10
ipsec,32,100,58.91,6.18,23.10
VMStress,32,100,83.34,20.61,26.60
maximize,32,100,58.69,11.35,24.50
