test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,39.84,6.28,22.00
CPUStress,32,10,45.32,6.10,21.90
CPUStress,32,20,48.52,6.19,22.10
CPUStress,32,30,51.32,6.37,22.00
CPUStress,32,40,51.84,6.28,22.30
CPUStress,32,50,54.20,6.46,22.60
CPUStress,32,60,56.54,6.60,22.90
CPUStress,32,70,54.82,6.32,23.10
CPUStress,32,80,60.05,6.83,23.10
CPUStress,32,90,60.62,6.83,23.20
CPUStress,32,100,56.71,6.34,23.10
ipsec,32,100,56.75,5.99,23.40
VMStress,32,100,82.83,20.46,26.20
maximize,32,100,60.40,11.27,24.20
