test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,73.12,10.18,31.40
CPUStress,32,10,89.13,10.30,34.30
CPUStress,32,20,102.19,10.33,36.70
CPUStress,32,30,110.94,10.38,37.40
CPUStress,32,40,120.84,10.63,39.90
CPUStress,32,50,126.96,10.64,41.10
CPUStress,32,60,131.50,10.63,42.60
CPUStress,32,70,139.77,10.83,43.60
CPUStress,32,80,139.93,10.72,44.20
CPUStress,32,90,139.19,10.67,45.40
CPUStress,32,100,134.96,10.30,46.10
ipsec,32,100,134.72,10.12,48.20
VMStress,32,100,131.71,24.91,41.40
maximize,32,100,134.94,15.50,46.00
