test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,73.16,10.21,30.90
CPUStress,32,10,89.30,10.27,34.10
CPUStress,32,20,103.74,10.44,35.90
CPUStress,32,30,111.88,10.43,38.10
CPUStress,32,40,118.08,10.34,39.80
CPUStress,32,50,129.31,10.86,41.00
CPUStress,32,60,132.49,10.62,42.40
CPUStress,32,70,138.10,10.72,43.50
CPUStress,32,80,140.20,10.69,44.60
CPUStress,32,90,139.09,10.67,45.30
CPUStress,32,100,134.70,10.34,45.80
ipsec,32,100,134.86,10.14,47.90
VMStress,32,100,131.56,24.95,40.40
maximize,32,100,134.80,15.63,45.20
