workflow,governor,region,energy consumption (kWh),average emissions (gCO2e),marginal emissions (gCO2e)
gb,chipseq,performance,3.7625620462687817,190.08697012431784,1450.496655058252
gb,chipseq,powersave,5.372742965219384,538.0596133290334,2129.704802260944
gb,rnaseq,performance,2.366688445783413,92.0974289930478,920.7112636061946
gb,rnaseq,powersave,3.3440696399376386,203.62117295752333,1335.1150811557154
de,chipseq,performance,3.7625620462687817,846.6927450930874,2849.0087094274986
de,chipseq,powersave,5.372742965219384,1084.7988011316374,3825.5005478376465
de,rnaseq,performance,2.366688445783413,400.8042762169792,1644.309308037009
de,rnaseq,powersave,3.3440696399376386,650.071246378612,2044.6320619930623
ca,chipseq,performance,3.7625620462687817,751.9061405935086,1614.6886584125625
ca,chipseq,powersave,5.372742965219384,722.0881520411464,2181.9258046611208
ca,rnaseq,performance,2.366688445783413,185.73995322388973,580.5216474279542
ca,rnaseq,powersave,3.3440696399376386,338.5695911065964,1071.646152591756
tx,chipseq,performance,3.7625620462687817,1184.0718942375531,1948.2270730879707
tx,chipseq,powersave,5.372742965219384,1844.8951481782858,2766.2263141600047
tx,rnaseq,performance,2.366688445783413,629.956169115111,1273.8665744811296
tx,rnaseq,powersave,3.3440696399376386,1108.2864638583758,1740.2874166474594
zaf,chipseq,performance,3.7625620462687817,2443.0832856547727,3377.6805601296714
zaf,chipseq,powersave,5.372742965219384,3492.614504116073,4876.895360965808
zaf,rnaseq,performance,2.366688445783413,1545.1751396460077,2177.736448839187
zaf,rnaseq,powersave,3.3440696399376386,2202.8379712527117,2952.084883740598
tyo,chipseq,performance,3.7625620462687817,1571.347914791254,2015.8179769343558
tyo,chipseq,powersave,5.372742965219384,2477.6047841720188,2878.4116808021736
tyo,rnaseq,performance,2.366688445783413,1148.624830588956,1267.66578907505
tyo,rnaseq,powersave,3.3440696399376386,1431.1546314509887,1791.4407092383317
nsw,chipseq,performance,3.7625620462687817,2164.096710801126,2856.368158880501
nsw,chipseq,powersave,5.372742965219384,2873.4353326394325,3962.4273293966266
nsw,rnaseq,performance,2.366688445783413,1482.1777923274738,1847.3833316634566
nsw,rnaseq,powersave,3.3440696399376386,1820.244236225589,2619.7506317879524
