test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,16,0,16.40,0.76,48.30
CPUStress,16,10,23.60,0.75,52.20
CPUStress,16,20,33.64,0.71,54.90
CPUStress,16,30,43.10,0.76,59.70
CPUStress,16,40,37.05,0.89,56.40
CPUStress,16,50,35.31,0.99,55.90
CPUStress,16,60,35.94,0.78,56.60
CPUStress,16,70,35.48,0.83,56.80
CPUStress,16,80,34.95,0.78,56.30
CPUStress,16,90,35.24,0.73,56.40
CPUStress,16,100,34.93,0.74,56.60
ipsec,16,100,34.92,0.73,57.00
VMStress,16,100,35.13,2.88,56.20
maximize,16,100,34.88,1.74,57.50
