test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,16,0,18.14,0.81,47.60
CPUStress,16,10,30.76,1.08,52.40
CPUStress,16,20,35.65,0.83,55.70
CPUStress,16,30,45.08,1.02,59.40
CPUStress,16,40,35.66,0.90,56.70
CPUStress,16,50,35.43,0.85,55.60
CPUStress,16,60,35.95,0.91,55.40
CPUStress,16,70,35.20,0.84,55.90
CPUStress,16,80,35.19,0.93,55.50
CPUStress,16,90,35.42,0.96,55.60
CPUStress,16,100,34.91,0.79,55.60
ipsec,16,100,34.91,0.67,55.70
VMStress,16,100,35.00,2.88,54.70
maximize,16,100,34.86,1.85,56.30
