test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,16,0,1.93,0.67,40.80
CPUStress,16,10,16.25,0.69,44.60
CPUStress,16,20,24.41,0.65,48.40
CPUStress,16,30,33.63,0.69,51.60
CPUStress,16,40,27.34,0.70,48.40
CPUStress,16,50,29.49,0.75,52.10
CPUStress,16,60,35.00,0.76,51.40
CPUStress,16,70,40.64,0.90,54.20
CPUStress,16,80,35.56,0.78,52.20
CPUStress,16,90,35.06,0.73,51.90
CPUStress,16,100,34.93,0.74,52.20
ipsec,16,100,34.90,0.76,52.70
VMStress,16,100,35.00,2.87,51.60
maximize,16,100,34.77,1.84,52.70
