test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,16,0,24.43,0.87,54.90
CPUStress,16,10,22.92,0.72,54.30
CPUStress,16,20,35.79,0.80,57.20
CPUStress,16,30,43.42,0.74,62.30
CPUStress,16,40,35.77,0.77,58.50
CPUStress,16,50,35.38,0.70,58.80
CPUStress,16,60,35.68,0.78,58.30
CPUStress,16,70,35.55,0.77,57.90
CPUStress,16,80,35.09,0.72,58.10
CPUStress,16,90,35.38,0.74,58.20
CPUStress,16,100,34.93,0.75,58.50
ipsec,16,100,34.90,0.75,58.30
VMStress,16,100,35.02,2.88,57.90
maximize,16,100,34.85,1.76,58.80
